fc_zscore_z16	fc_zscore_d15	fc_zscore_z15	fc_zscore_sharma	fc_zscore_zeis	fc_zscore_tasic	grand_mean	gene
15.2083810223777	27.5296638167774	17.303043774263	9.44156053603212	24.1640560669169	26.5812700412647	20.73354992059	SLC1A3
23.8543504169183	22.8512654799158	13.7152438054798	7.33073591530467	18.5236595657458	24.6370354940832	20.6874625228308	GJA1
20.0044309550493	30.8990202110367	16.6866014686751	6.24466248356098	22.199657415128	13.4042009728735	18.3455162118622	AQP4
20.5654664640985	34.4602836884385	14.4003043908616	1.07435316015468	22.4407012545825	11.2926398169495	17.4828854274801	SLC1A2
15.1589474274095	23.0958335473812	12.7379063012766	0.52620505144049	27.5142113224375	13.7945654996816	14.4767564635455	ATP1A2
12.9363906700386	13.5673400421512	15.0624273937508	1.55605130801794	13.609133322575	5.64834731111967	13.2518653560949	SLC4A4
7.75435807012428	16.1162730254957	15.9973012440052	0.651480440291679	11.1448245555867	14.3052415836241	12.7250330696054	PTPRZ1
13.8855910973079	20.6053499918709	11.3162039642709	1.21002645209747	6.23610858501891	18.4674386364811	12.6008975307894	F3
11.1822045068413	10.442800658111	13.6370002034519	5.01011644003676	16.1667628909632	17.3734728345212	12.4096023551466	PPAP2B
17.2317746597258	8.97883617418981	8.84143128179987	14.0958909380855	22.5750564308976	8.7726520125967	11.5373635561376	CLU
12.2628760111005	14.0576158533339	8.75532526307279	3.68149694582293	10.1256484273645	13.7623701719761	11.1942622192325	EDNRB
13.9310122489455	5.63444266572134	8.30025896998018	4.40902421463206	19.8206761906575	20.6199566295377	11.1156356094629	ALDOC
19.0706787148445	10.9174311399997	10.8025041311464	6.67616354140738	11.327172598586	6.27138946856373	10.859967635573	ATP1B2
22.054522094484	10.4237209840177	10.6872885364914	6.15274493233328	21.460357528993	8.84375781196302	10.5555047602546	SPARCL1
9.13137224024899	9.02667606304231	10.2636439995875	2.27290643421757	13.7732741121758	14.0781861362935	9.69750811991823	CLDN10
12.1435940603647	8.44986264803469	-0.152984834425288	7.46749968420903	10.8244572806796	11.9404028635356	9.63715996435716	SERPINE2
12.6570022552883	8.60673370743881	10.2232031292412	5.68894429920111	7.20335903075479	12.096743077056	9.41496841834002	SLC39A12
8.36439123834122	14.8287760851962	9.88784451432023	8.14806186164069	6.52180189262617	11.5133355496792	9.12611787633073	SOX9
11.5297734359704	8.39727503461241	-0.152984834425288	2.93958006605592	9.77953019397706	10.9102606876369	9.08840261429474	FAM107A
11.0322553802048	13.4136941829254	12.0443647976788	-0.22438220615718	6.96397280950784	2.74773323514952	8.9981140948563	NCAN
9.24145431473597	1.04360233450149	8.59081112552632	5.53691035691514	16.7749281773516	11.9741422515719	8.91613272013115	NDRG2
8.62269370220709	9.10065943200188	14.6883859039478	1.34707856084276	7.71386996174793	8.96224169744461	8.79246769982585	FGFR3
5.4838115180769	1.33291187476555	0.671963136884321	17.4467084242163	25.0835694664801	12.056280012207	8.77004576514195	MT1E
18.6714532911177	7.15709745889075	7.28165417800487	9.92455510893966	12.691670975434	1.54376355714433	8.60310464347226	CPE
4.8106416047648	3.46582688201875	13.3008440854637	14.0233087630556	12.0496237390473	4.408803413882	8.43013267190607	MLC1
8.40355676479726	1.54466548776256	8.00975553326531	2.00766704183559	9.11324010148832	15.8868597451321	8.20665614903129	S1PR1
13.950596712973	9.98100947279153	6.24509417880316	-0.0599754097962999	5.24826979956646	18.3078867769957	8.11305182579734	GJB6
5.68747370969001	3.93189197277735	10.2151778188202	3.05482834950854	12.8496678799483	12.5613508848013	7.95132576425511	ACSBG1
12.6715150592034	3.58476247500516	-0.152984834425288	7.24614635643393	27.1214053867792	8.56513165863539	7.90563900753466	CST3
7.12053489921377	8.62833333908388	10.990233701065	-0.22438220615718	3.57879055279132	11.1278580321433	7.87443411914882	DIO2
11.5584473528626	4.48195799751882	-0.152984834425288	1.39475552652298	13.318827868621	11.1297395305304	7.80584876402464	GLUL
1.93206354010542	0.035072693585996	3.54475866271302	12.0319454060263	17.1446317386032	17.4882620737422	7.78835203436968	GSTM1
10.5777832346968	10.7314625532877	7.17822924302257	1.19452597121326	8.38387246522393	3.86094165967115	7.78105085412325	GLUD1
5.73217931144717	0.366600467321071	4.16017193450824	9.62397146584425	19.2170725089896	13.8265457087588	7.67807538864571	PRDX6
9.8213798338099	17.3153807012787	2.618303584445	0.944765261853471	5.30282609948871	17.3726600601215	7.5621029666493	SLCO1C1
8.83011489895843	6.24672129050855	1.51137711764564	4.01215691607648	10.7068579223157	18.4444313299426	7.53841809473349	SDC4
7.31323035557346	7.57695649609452	8.38961493317569	-0.216419777000506	9.65025060552806	5.24828309298412	7.44509342583399	ACSL6
2.98424854738178	0.138875737014317	12.2872563194951	-0.20852921268527	11.8071118175934	22.4929195880147	7.3956801824876	MFGE8
6.94385694027899	9.21078613450168	6.8590975123514	7.7265001139184	4.44595840013713	8.77458508046262	7.33517852709869	TIMP3
8.27833646195335	6.30748270507749	4.13975680635231	-0.22438220615718	17.9515498473307	15.282459577298	7.29290958351542	GPR37L1
5.17284092138406	2.39901147631035	10.5481289528887	-0.138723263353193	9.38536343756645	10.7975989973016	7.27910217947526	HTRA1
-0.202018608537719	0.0362267259936219	9.75290643835943	4.67072925297384	17.5383585942051	19.6196106153901	7.21181784566663	PLA2G7
5.43148528103285	8.40779626057327	12.3537226261916	-0.22438220615718	3.58724440435164	10.4378463866124	6.91964077080306	GRM3
7.62059825390742	22.3656745654066	8.37566672746147	6.11871943172937	5.32252717001633	4.05131347715638	6.86965884281839	EZR
