fc_zscore_z16	fc_zscore_d15	fc_zscore_z15	fc_zscore_zeis	fc_zscore_tasic	grand_mean	gene
22.4703003445223	0.0623463380314702	17.4291633158977	31.633539419708	25.71581803191	22.4703003445223	ITM2A
15.3756918329114	0.627743562058109	11.3926095113913	14.6264594677609	16.7003214758446	14.6264594677609	FLT1
0.0063988881348179	-0.0953071636649041	14.1120095306475	15.3868820349191	23.1632458434051	14.1120095306475	PLTP
13.5655308291424	2.29298405148929	14.095072606103	12.5553584039665	14.7263302527009	13.5655308291424	ESAM
14.6824400829262	-0.0953071636649041	10.3597174911912	12.6877070999747	14.4470483291274	12.6877070999747	SLC2A1
12.5647030194169	2.89494267648088	22.2957620885268	18.6432432247409	4.52117860967429	12.5647030194169	CLDN5
0.0063988881348179	0.92420944633565	12.1036469212744	13.0626588967245	17.9779712817313	12.1036469212744	SLCO1C1
11.7723192538614	0.549641712562304	15.4051586022241	15.0371642945435	8.10465086915569	11.7723192538614	BSG
15.8631173094217	6.21099132897989	11.4576817162777	11.6360336369297	12.6271689996383	11.6360336369297	FN1
0.120967148424627	-0.0928586435633566	11.6223946683926	12.1286745568722	12.1609405229942	11.6223946683926	EGFL7
0.0063988881348179	-0.0953071636649041	11.2521643632003	17.7431937463107	25.7845109310735	11.2521643632003	SLCO1A2
3.87324071814792	0.0972406441631075	14.7784830052806	11.1047885701495	12.0834724722656	11.1047885701495	CA4
24.5633919966014	2.13310273928639	1.16293420579941	11.6493140399311	10.7633860419334	10.7633860419334	IFITM1
10.5173353967343	2.11770804165822	6.89988685339775	28.126870655128	19.6318035015828	10.5173353967343	SPARC
0.302810834523111	19.8663155239136	1.94569926628102	12.6773863049288	10.3379028564083	10.3379028564083	B2M
0.0063988881348179	0.981765511659923	10.6982611141663	11.6170549830291	10.3110094638503	10.3110094638503	CD93
6.44195207158137	1.77607433617526	13.9654091837724	10.2863738538458	19.4937688584685	10.2863738538458	ELTD1
10.1283373486124	1.12914628333684	9.50439578674518	10.6519152394476	15.0144321859303	10.1283373486124	ABCB1
0.0063988881348179	3.40995072208224	10.0238507844281	10.2744534772409	11.7440355123428	10.0238507844281	C1ORF54
14.28097917091	3.27697086462358	9.54863732185249	9.89811311346519	11.1810753239159	9.89811311346519	TM4SF1
9.69826474931461	0.078641628808603	8.12432146693388	14.4392666065304	12.5579249290825	9.69826474931461	PTPRB
0.0063988881348179	0.258892958868501	9.62982464468266	11.4010356410794	14.2477469794815	9.62982464468266	SEPP1
12.7006088725976	1.93973588346137	2.83185264081486	11.1661178602668	9.62659475853402	9.62659475853402	EPAS1
2.79958883514891	-0.0953071636649041	9.59502312401036	10.2185384325642	14.6209973205448	9.59502312401036	SRGN
11.5274171334463	0.854139037770143	9.00826003510475	9.32702565652067	13.8282164371887	9.32702565652067	GPR116
3.27295962034801	0.0912473126704577	9.26704948611173	12.0124524275297	9.19662093390123	9.19662093390123	GIMAP6
12.1538072351872	1.72507332109876	13.7144588108479	9.10504599636169	3.83751532609281	9.10504599636169	CD34
26.6550311415324	0.91883767380971	8.78671136079852	3.39828638970355	10.9809034123723	8.78671136079852	RGS5
12.2303566129052	0.311112230054279	8.53375224406603	8.42542900029231	6.47030888321448	8.42542900029231	GNG11
8.54344312666472	0.0907336424663115	7.93712446681481	9.93774157992006	8.29088206870989	8.29088206870989	PALMD
10.8588043116274	-0.0953071636649041	8.28075617937868	10.5184575064703	2.51075888456999	8.28075617937868	SLC7A5
0.0063988881348179	26.5792691329441	10.0039922548558	5.94106548857931	7.86701845854105	7.86701845854105	VIM
6.86872126441435	1.8535336827271	11.6398664417795	8.79573463185486	7.66419899300992	7.66419899300992	PECAM1
2.11716031729726	-0.0953071636649041	7.66160963082678	8.23453771617498	8.03134902174921	7.66160963082678	PROM1
25.1477674772753	1.77487300345247	15.9585899491508	7.64501350757053	3.42482869905696	7.64501350757053	APOLD1
13.78678735235	0.962891841963437	7.59923765615178	8.92366692977386	4.35695300880838	7.59923765615178	PODXL
0.0193868877859946	0.0253449394388205	10.405412805497	7.48078914733021	10.1273401034736	7.48078914733021	SLC22A8
7.48022482202554	-0.0953071636649041	8.07743819621543	6.48333511992021	8.06917037083285	7.48022482202554	NOSTRIN
8.01442736942957	0.070528365027839	7.72892684407572	5.83952071753517	7.23029136753164	7.23029136753164	CAV1
7.02084889417131	0.785751413970499	10.510997105487	3.49246924789712	8.29951525453548	7.02084889417131	CDH5
0.0063988881348179	0.481941233193862	7.95951242200673	7.10322046883975	6.88367759070052	6.88367759070052	TPM4
3.28546477680534	-0.0141554977896541	6.98823344007795	6.8493474067141	7.31261121907972	6.8493474067141	ANXA2
7.3554350793907	1.51953593862107	11.5847131001298	6.72764927846587	5.73552805360419	6.72764927846587	ICAM2
13.5125368144866	0.436449348914573	6.5026168540792	7.787139304586	2.41274624222094	6.5026168540792	MFSD2A
20.5207257243946	1.41132332079802	6.42783467588227	3.31269436374005	6.3766531912665	6.3766531912665	SDPR
15.7938563781699	0.891309028631824	6.35532862917922	2.74869153097376	10.6980884203584	6.35532862917922	ABCG2
11.8291657297089	6.34545108995724	6.9580992610934	3.94358873858795	2.362515883522	6.34545108995724	TMSB10
5.55917848837785	2.0272919208407	8.56661947127801	6.29387152839397	10.3969799302461	6.29387152839397	EMCN
6.25525019281393	-0.0953071636649041	11.8891174214808	9.81606397248115	2.26810717198131	6.25525019281393	KDR
1.84295513711172	-0.143556024543385	9.2973929829011	6.24172186860099	18.7361483850156	6.24172186860099	TEK
